# ExxonMobil corporate turnaround plan (AMR Turnaround Schedule 2026 FP, Query1 sheet).
# Vendored from the operator's own plan to VERIFY the IIR Exxon outage records (per-unit, by site/date).
# bucket = focus unit class derived from platform/subunit (CDU/FCC/Hydrocracker/Reformer/Coker/Hydrotreater/Other).
site,unit,platform,subunit,bucket,year,start,end,event,region
Nanticoke Refinery,NP-CSU,Distillation,CDU,CDU,2027,2027-04-01,2027-05-13,2Q27 Spartan TA,North America
Nanticoke Refinery,NP-FDSPL,Distillation,FRACTIONATOR,Other,2027,2027-04-01,2027-05-10,2Q27 Spartan TA,North America
Nanticoke Refinery,NP-LSRSPL,Distillation,FRACTIONATOR,Other,2027,2027-04-01,2027-05-13,2Q27 Spartan TA,North America
Nanticoke Refinery,NP-NHIN,Hydroprocessing,HYDT,Hydrotreater,2027,2027-04-01,2027-05-13,2Q27 Spartan TA,North America
Nanticoke Refinery,NP-REFSPL,Distillation,FRACTIONATOR,Other,2027,2027-04-01,2027-05-07,2Q27 Spartan TA,North America
Nanticoke Refinery,NP-SRU,Gas Processing,SRU/TRU,Other,2027,2027-04-01,2027-04-25,2Q27 Spartan TA,North America
Baton Rouge Refinery,HULA,Hydroprocessing,Hydrofiner Unit,Hydrotreater,2026,2026-05-01,2026-05-24,HULA R-901,North America
Baton Rouge Refinery,HULA,Hydroprocessing,Hydrofiner Unit,Hydrotreater,2026,2026-05-01,2026-05-24,HULA R-901,North America
Baton Rouge Chemical Plant,INFRA,Utilities,Infrastructure,Other,2028,2028-08-11,2028-09-18,BRTG Major,North America
Baton Rouge Refinery,HCN,Hydroprocessing,Heavy Cat Naptha,Hydrotreater,2030,2030-01-21,2030-02-20,30Q1 HCN,North America
Baton Rouge Refinery,HCN,Hydroprocessing,Heavy Cat Naptha,Hydrotreater,2030,2030-01-21,2030-02-20,30Q1 HCN,North America
Baton Rouge Refinery,HULA,Hydroprocessing,Hydrofiner Unit,Hydrotreater,2030,2030-05-07,2030-05-30,HULA R-901: 23 days,North America
Baton Rouge Refinery,HHLA,Hydroprocessing,North Train Hydrofiner,Hydrotreater,2030,2030-06-07,2030-07-05,30Q2 HHLA-N,North America
Baytown Refinery,LHU1,Lubes,Lube Hydrofiner Unit 1,Other,2030,2030-06-05,2030-06-25,2030 LHU1 Cat C/O,North America
Joliet Refinery,FT Cogen,Utilities,COGEN,Other,2030,2030-09-01,2030-09-22,3Q30 Joliet Shutdown,North America
Strathcona Refinery,AM,Gas Processing,Amine,Other,2030,2030-09-01,2030-09-15,3Q30 Strathcona Shutdown,North America
Strathcona Refinery,GT,Utilities,Cogeneration,Other,2030,2030-09-01,2030-09-13,3Q30 Strathcona Shutdown,North America
